song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside
Love Station,2024-11-23,49.0,Lim Young Woong,56.0,3,2024-11-21,50.0,1
Christmas Love,2024-11-24,46.0,Jimin,69.0,8,2024-11-22,49.0,1
Left and Right (Feat. Jung Kook of BTS),2024-11-28,29.0,Charlie Puth,82.0,3,2024-10-30,19.0,28
Christmas Love,2024-11-28,48.0,Jimin,69.0,9,2024-11-24,46.0,3
Trust in me,2024-11-29,48.0,Lim Young Woong,58.0,2,2024-11-27,47.0,1
ETA,2024-11-30,49.0,NewJeans,85.0,3,2024-11-28,50.0,1
OMG,2024-12-02,42.0,NewJeans,86.0,2,2024-10-28,48.0,34
Christmas Love,2024-12-02,50.0,Jimin,69.0,10,2024-11-28,48.0,3
3D (Justin Timberlake Remix),2024-12-03,38.0,Jung Kook & Justin Timberlake,75.0,2,2024-11-27,28.0,5
Loving You,2024-12-04,46.0,Lim Young Woong,57.0,3,2024-11-22,48.0,11
Too Sad to Dance,2024-12-04,50.0,Jung Kook,86.0,2,2024-12-02,46.0,1
Closer to You (feat. Major Lazer),2024-12-05,44.0,Jung Kook,86.0,2,2024-12-03,47.0,1
Love Station,2024-12-05,50.0,Lim Young Woong,57.0,4,2024-11-23,49.0,11
