song,reentry_date,reentry_position,artist,reentry_popularity,entry_number,exit_date,last_position,days_outside,peak_rank,run_days,rank_jump_magnitude,peak_popularity,popularity_change,peak_date,days_to_peak,rank_jump_score,popularity_change_score,recovery_speed_score,momentum_spike_score,album_type,is_explicit,duration_minutes,total_tracks,first_entry_date,first_entry_position,reentry_frequency,fandom_intensity_proxy_score,post_comeback_retention_days
With you,2024-07-05,50.0,Jimin & HA SUNG WOON,77.0,4,2024-06-28,43.0,6,50.0,2,0.0,77.0,0.0,2024-07-05,0,0.0,0.0,100.0,20.0,single,False,3.37,2,2024-05-20,50.0,4,36.2,2
Cruel Summer,2024-07-07,44.0,Taylor Swift,98.0,2,2024-07-04,35.0,2,35.0,85,9.0,100.0,2.0,2024-08-06,30,21.951219512195124,2.2988505747126435,72.72727272727273,26.21,album,False,2.97,18,2024-07-02,38.0,13,46.65,85
Super,2024-07-07,47.0,SEVENTEEN,88.0,2,2024-07-04,33.0,2,37.0,22,10.0,88.0,0.0,2024-07-10,3,24.390243902439025,0.0,97.27272727272728,31.65,single,False,3.34,6,2024-05-18,13.0,2,39.94,22
Promise,2024-07-07,46.0,Jimin,77.0,9,2024-07-04,49.0,2,36.0,4,10.0,77.0,0.0,2024-07-09,2,24.390243902439025,0.0,98.1818181818182,31.83,single,False,2.52,1,2024-05-18,48.0,9,50.66,4
Attention,2024-07-07,37.0,NewJeans,85.0,2,2024-07-04,29.0,2,26.0,55,11.0,85.0,0.0,2024-07-14,7,26.82926829268293,0.0,93.63636363636364,32.14,single,False,3.0,4,2024-05-18,30.0,10,51.2,55
Cupid - Twin Ver.,2024-07-07,43.0,FIFTY FIFTY,99.0,2,2024-07-04,31.0,2,36.0,15,7.0,99.0,0.0,2024-07-10,3,17.073170731707318,0.0,97.27272727272728,27.99,single,False,2.9,3,2024-05-18,10.0,3,39.1,15
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-07,50.0,Post Malone,89.0,2,2024-07-04,32.0,2,45.0,2,5.0,89.0,0.0,2024-07-08,1,12.195121951219512,0.0,99.0909090909091,25.92,album,False,2.63,17,2024-06-23,49.0,5,41.21,2
Rainbow,2024-07-08,50.0,Lim Young Woong,60.0,2,2024-07-04,37.0,3,50.0,1,0.0,60.0,0.0,2024-07-08,0,0.0,0.0,100.0,20.0,album,False,3.27,12,2024-05-18,33.0,16,53.98,1
Cupid,2024-07-09,50.0,FIFTY FIFTY,87.0,2,2024-07-04,36.0,4,42.0,4,8.0,87.0,0.0,2024-07-10,1,19.51219512195122,0.0,99.0909090909091,29.57,single,False,2.9,3,2024-05-18,16.0,1,37.6,4
Like Crazy (Deep House Remix),2024-07-09,46.0,Jimin,71.0,10,2024-07-03,49.0,5,46.0,1,0.0,71.0,0.0,2024-07-09,0,0.0,0.0,100.0,20.0,single,False,3.01,5,2024-05-19,47.0,9,43.61,1
Rainbow,2024-07-10,43.0,Lim Young Woong,60.0,3,2024-07-08,50.0,1,37.0,17,6.0,60.0,0.0,2024-07-11,1,14.634146341463412,0.0,99.0909090909091,27.14,album,False,3.27,12,2024-05-18,33.0,16,58.28,17
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-10,46.0,Post Malone,89.0,3,2024-07-08,45.0,1,46.0,5,0.0,89.0,0.0,2024-07-10,0,0.0,0.0,100.0,20.0,album,False,2.63,17,2024-06-23,49.0,5,37.68,5
"Our Blues, Our Life",2024-07-10,45.0,Lim Young Woong,60.0,2,2024-07-04,40.0,5,43.0,17,2.0,60.0,0.0,2024-07-11,1,4.878048780487805,0.0,99.0909090909091,22.26,album,False,3.46,12,2024-05-18,39.0,28,72.96,17
A bientot,2024-07-11,47.0,Lim Young Woong,59.0,4,2024-07-04,47.0,6,47.0,1,0.0,59.0,0.0,2024-07-11,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,1
Promise,2024-07-12,49.0,Jimin,77.0,10,2024-07-10,47.0,1,49.0,1,0.0,77.0,0.0,2024-07-12,0,0.0,0.0,100.0,20.0,single,False,2.52,1,2024-05-18,48.0,9,43.61,1
A bientot,2024-07-13,50.0,Lim Young Woong,59.0,5,2024-07-11,47.0,1,50.0,1,0.0,59.0,0.0,2024-07-13,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,1
The Planet,2024-07-16,46.0,BTS,86.0,4,2024-07-04,43.0,11,46.0,1,0.0,86.0,0.0,2024-07-16,0,0.0,0.0,100.0,20.0,single,False,2.97,1,2024-05-18,19.0,3,34.72,1
Sunflower - Spider-Man: Into the Spider-Verse,2024-07-16,50.0,Post Malone,89.0,4,2024-07-14,49.0,1,50.0,1,0.0,89.0,0.0,2024-07-16,0,0.0,0.0,100.0,20.0,album,False,2.63,17,2024-06-23,49.0,5,37.68,1
In Bloom,2024-07-17,48.0,ZEROBASEONE,76.0,2,2024-07-14,44.0,2,48.0,3,0.0,78.0,2.0,2024-07-17,0,0.0,2.2988505747126435,100.0,20.69,single,False,3.02,6,2024-07-13,39.0,2,33.67,3
A bientot,2024-07-17,50.0,Lim Young Woong,59.0,6,2024-07-13,50.0,3,50.0,2,0.0,59.0,0.0,2024-07-17,0,0.0,0.0,100.0,20.0,album,False,4.27,12,2024-05-18,41.0,22,62.87,2
